word,frequency
Thi,4
resembling,20
petals,5
prohibited,13
musta,129
gardens,3
pools,8
cooled,61
shines,4
creating,16
stories,4
Foods,6
gruels,6
arising,9
kunda,2
rasala,2
curds,15
churned,20
saktu,6
mantha,16
madhuka,178
kharjura,11
kasmarya,7
parusaka,12
kadali,6
panasa,5
Cooled,2
patala,9
Hlf,2
flakes,3
mahisa,7
stars,7
frl,7
lR,3
dc,2
parks,3
sala,5
palms,7
bunches,2
creepers,13
kalhara,2
fountains,2
exhibited,7
breasts,21
suggested,7
terraces,3
HIHI,2
MRj,2
KI,5
chMI,2
avoiding,13
fans,6
feathers,7
mallika,3
chains,3
children,49
lakes,9
diminished,31
idl,3
agnimandya,8
dl,38
oi,20
fr,15
performing,24
godhuma,9
processed,87
mamsarasa,3
mardwika,3
liquors,8
souvarcala,4
pancakola,6
rainwater,9
parched,63
VUR,2
ghrtapana,2
raktamoksana,4
laghuguna,14
Sali,12
mudga,17
dhatri,2
amalaki,2
Rd,3
purified,23
agastya,2
naksatra,2
haihsodaka,2
doesn,39
usira,13
fats,17
usnaguna,5
changing,4
Haritaki,53
occurs,17
Varsartu,3
Wr,3
stressed,5
relating,26
suppressable,3
Adharaniya,6
Dhara,3
vegas,3
Lobha,2
Bhaya,4
Krodha,4
Irsya,2
Anrta,2
Srama,2
svasa,3
Gulma,32
udavarta,13
ruk,3
Klama,2
sakrt,3
vadha,2
hrdgada,2
adhovata,2
Faeces,4
cramps,14
pratisyaya,4
siroruja,2
parikarta,2
ahgabhahga,2
asmari,7
medhra,4
vanksana,3
stools,19
Varti,9
varti,9
avagaha,7
svedana,5
eliminates,29
doses,20
Belching,3
aruci,12
lungs,6
abdomenal,2
hidhma,2
hiccough,13
indriya,3
dourbalya,2
vilokana,2
Saiigraha,5
sosa,16
badhirya,3
sammoha,2
bhrama,13
Glani,2
karsya,3
aksi,8
gaurava,3
alasya,3
ahgamarda,2
pains,15
hrdaya,5
problems,13
hikka,20
gulma,157
tumors,32
vatika,85
suppressing,6
Tears,4
plnasa,6
uj,3
vf,2
visarpa,39
kotha,6
kusta,4
kandu,5
pandu,18
hrllasa,4
vyahga,2
discoloured,5
patches,13
svayathu,2
oedema,64
letting,52
sarjaksara,2
saindhava,30
guhya,2
jvara,14
hrdvyatha,2
vardhma,3
sandhata,2
liked,5
faecal,6
emaciated,65
forms,63
pacifying,19
senses,64
dwesa,2
jt,7
techniques,11
tonics,4
aphrodisiacs,17
administered,219
sastika,5
snana,2
powers,10
Agantuja,2
bhuta,4
demons,16
poisons,44
ksata,4
fractures,7
Jlfd,2
faj,2
IM,15
experiences,3
Atharva,7
ct,26
eliminated,40
regulations,4
mistakes,3
narrated,2
VlJNANlYA,2
deals,40
Varga,29
Gangambu,3
Samudrodaka,2
contaminated,16
processing,11
Pakwa,2
Svete,2
Nila,5
Parthiva,4
gunadhikya,5
prthivi,9
Ambu,2
Sarasa,5
Tataka,2
Caundya,2
pits,7
rocks,2
mountains,10
Audbhida,6
springs,2
Vapi,4
flights,4
Ksinapada,2
Ib,3
Tribhaga,2
rd,15
Ardha,3
Kvathita,2
Tausara,2
Haima,2
generates,51
stimulates,8
alleviates,261
vlrya,11
cures,35
variations,20
Siitra,2
cooked,378
makes,64
changes,17
md,6
Contaminated,4
gaAgimbu,4
simudra,2
Agastya,11
preserved,10
iya,2
dominaney,2
lavapa,2
vitiates,24
doa,2
Mitigates,17
trido,3
webs,2
spiders,6
Insects,2
Plants,4
heated,59
immersing,9
balls,26
putting,13
tubers,11
seeds,143
kataka,2
potatorum,4
roots,124
purifies,16
karavira,14
NadI,2
travels,3
swiftly,8
flows,13
cH,40
xr,2
Kl,2
lJ,4
Malaya,5
stagnated,4
krmi,16
parasites,14
hrdroga,13
kantharoga,2
siroroga,3
Mahendra,2
udara,46
Sahya,3
Vindhya,4
Pariyatra,2
nourishes,15
kupa,6
sarasa,3
oudbhida,2
Avoiding,3
Grahani,13
meals,73
madatyaya,10
glani,5
daha,4
mh,2
cooks,4
flanks,13
remained,4
sarhsarga,2
dipana,15
stored,25
ater,27
stones,31
removes,45
spirits,35
fevers,23
msa,3
gu,6
vite,4
WHIi,2
Toya,4
rm,4
smilk,2
fm,3
vipika,5
kslra,4
VM,4
TTT,73
sustains,4
Indicated,26
Cures,8
kira,2
Aji,3
goats,7
digestable,3
ascitis,16
asrk,3
abhisyandi,8
Coagulated,2
Ui,4
Curds,4
Constipating,2
adding,48
precautions,3
anurea,3
mastu,4
cleans,5
Hc,3
ri,13
imparts,46
clarified,96
improves,47
weapons,7
burns,19
ema,5
possesses,19
heals,12
Hrday,5
Kilata,5
kaumbha,2
prapurana,2
Piyusa,2
Morana,2
morata,3
calving,2
Paundraka,3
Naipala,3
Dirghapatraka,2
Sataparva,2
Sugarcane,7
saraguna,9
Bhiruka,4
Mlfa,2
infested,4
iksu,9
sodhaka,6
UW,2
cMH,2
Matsyandika,2
ska,3
Yasa,4
Ucf,2
phanita,3
Hd,3
caksusya,5
breaks,15
solidified,13
materials,18
infestations,3
Cleans,3
Consists,2
edi,3
potencies,38
kills,10
yogavahi,2
looks,26
Ksaudra,2
Maksika,6
coloured,28
maksika,3
Oils,8
rlci,2
ys,3
Seeds,8
penetrates,2
HJI,6
guruguna,13
picchila,5
bflj,2
krimi,2
uma,2
usitatissimum,3
Carathamus,5
Miui,2
fli,3
benefits,7
comforts,8
undergone,24
Wines,9
IHU,2
medas,41
stanya,8
Varuni,3
PlPd,2
swasa,30
vibandha,5
CT,7
Uc,4
Vibhitaki,7
ruksaguna,4
aggravates,37
Fermented,5
aristas,5
lekhana,17
meha,21
dates,9
jaggary,7
MH,13
medoroga,4
pakwarasa,2
krmiroga,3
madya,14
sukta,5
preserving,5
fermenting,11
grains,54
uninary,2
Souvlraka,2
tusodaka,3
dhanyamla,5
panduroga,3
dehusked,2
Gomutra,3
Gaja,2
urines,5
lav,10
kata,3
anaha,13
cases,248
switra,2
alepa,2
digests,19
kid,2
ney,2
goumutra,4
Shalini,2
doctors,3
Rs,4
parents,8
tem,6
recovered,4
runs,13
centre,10
consisting,71
Annasvarupa,27
Vaghbata,2
Cereals,2
RR,7
Md,8
Kalama,4
Sugandhika,2
Pundarika,5
Sariva,9
Kardama,3
HMcfl,2
constipated,13
subsides,22
kalama,2
bM,2
rl,15
hayana,2
parhsu,3
baspa,2
naisadhaka,2
vrihi,7
grahi,17
asita,5
krsna,7
kukkutandaka,2
lavaka,2
varaka,2
Uddalaka,3
purisa,8
Kahgu,2
kodrava,5
nivara,2
syamaka,3
rM,6
iJI,2
Priyahgu,5
iii,4
fractured,20
fluids,16
ml,95
fcM,4
urusthambha,3
rH,8
Nandimukha,3
Adhaki,6
radiatus,6
adhaki,4
culinaris,4
upaseka,2
simbi,4
cala,3
Kalaya,10
sativus,21
Vigna,3
IHJI,3
chM,5
HPd,2
biflorus,5
cf,15
cMl,2
vidahi,3
TR,12
ui,11
Fruits,11
pruriens,6
Atmagupta,8
indicum,35
dg,2
MHJI,2
tinctorius,5
suka,5
Preparations,23
fd,7
peya,8
odana,2
manda,9
Induces,2
Moves,2
PH,3
ldl,8
wf,3
IH,10
evaporated,2
officinalis,13
citraka,123
zeylanica,18
attributes,73
kriya,4
Desa,3
TJT,2
JTt,3
suited,17
moves,35
im,36
MMH,3
tila,39
extracting,26
germinated,8
Ia,10
Srikhanda,2
filtered,44
spices,6
jfluM,2
nn,8
var,9
vistambha,3
flattened,3
Vesavara,4
builds,3
Kukula,2
cakes,21
karpara,2
frying,7
khala,2
krta,2
akrta,2
Yusa,3
sada,3
pieces,28
categories,6
Jaiigala,2
Harina,8
ena,17
sikhi,3
daksa,2
Vilesaya,2
Animals,15
burrows,3
Anupa,13
eg,18
Birds,8
Rohita,8
horns,13
Ena,9
Kuranga,7
Gokarna,4
cj,12
nm,3
Vartira,3
vartika,4
vartma,2
kapinjala,3
cakora,3
vartaka,9
tamracuda,2
legs,25
viskira,5
Kapota,5
Jivanjivaka,2
mynah,3
datyuha,2
sarika,2
harita,3
Bheka,4
godha,5
ahi,6
Godha,11
Ahi,2
Swavida,2
khara,4
ustra,2
aswa,2
vyaghra,2
casa,3
bhasa,2
madhuha,2
prasaha,7
Aswatara,2
Lopaka,4
Vantada,2
Vayasa,3
Sasaghni,2
Uluka,4
Madhuha,2
Kulingaka,2
rohita,4
mahamrga,2
Srmara,2
Khadga,2
kadamba,13
plava,10
balaka,8
Karandava,2
Plava,10
Cakrahwa,2
Krounca,3
madgu,2
jalacara,3
Sukti,4
Timingila,2
Cilicima,2
karkata,3
sukti,6
raji,3
cilicima,4
matsya,9
fond,9
pratuda,3
vilesaya,3
mrga,5
WT,12
kukkuta,2
villages,5
mams,2
rTT,4
mariisa,11
dH,3
aja,6
secretions,56
suska,5
atyagni,4
visama,4
Rohitaka,3
killed,3
drowned,2
poisoned,31
quadrupeds,6
Tissues,2
Testicles,6
kidneys,4
meats,13
Vegetables,4
pariera,5
sathi,2
karcura,2
charantia,6
sunisannaka,3
minuta,4
satinaja,2
sativum,15
Patha,10
Sathi,2
rai,2
rj,4
Sunisannaka,3
Vastuka,10
Rajaksva,2
microphylla,3
hemorrhoids,6
Cangeri,3
nigrum,14
corniculata,4
stops,8
tola,4
cbd,3
illfe,2
dd,7
diocia,3
Saptala,12
sinuata,2
indica,53
halicacabum,3
Avalguja,7
corylifolia,4
Amrta,2
Tinospora,10
Brhati,9
Adathoda,6
vasaka,2
Kuntali,2
sp,32
Tilaparnika,3
Mandukaparni,6
Centella,3
asiatica,8
Karkota,2
dioica,3
Parpata,3
Nadikalaya,2
capsularis,5
Gojihwa,2
Vanatiktaka,2
deciduas,3
Kulaka,3
thes,5
Kucaila,2
sessilis,2
Katilla,2
Boerhaavia,4
diffusa,6
Kembuka,3
Costus,2
speciosus,2
acutangula,12
Karkasa,3
xanthocarpum,7
Brhatidwaya,2
vasica,5
avalguja,3
kosataki,4
Psoralia,2
Tanduliya,5
spinosus,3
latifolia,5
oleracea,2
podika,2
rubra,3
arrests,14
tuberosa,6
Leptadenia,7
reticulata,8
siceraria,6
vulgaris,4
utilissimus,3
Var,7
milliaceum,2
cirbhata,2
melo,3
abhisyanda,4
bhedi,2
MHJ,4
grahiguna,5
ervaru,2
ripened,17
Cirbhata,3
asthila,2
bisa,9
saluka,3
kumuda,3
utpala,54
kanda,6
stellata,6
Kumuda,8
Utpala,15
kysoor,4
lr,6
reptans,2
nalika,2
Digera,2
muricata,2
quadrifida,2
argentea,3
gavedhuka,3
lachrymajobi,2
cakramarda,5
yavasaka,3
suvarcala,6
bears,4
agnimantha,2
phlomidis,5
nurvala,3
portulacastrum,2
garavisa,4
Ciribilwa,2
Holoptelia,3
integrifolia,6
tW,2
cS,2
Sprouts,2
sata,9
racemosus,8
Variisa,2
Varhsakanra,2
shoots,3
Aerva,2
occidentalis,2
kaphotklesa,2
campestris,8
Sarson,6
prain,2
swarasada,2
agnisada,4
acc,5
Kuthera,2
Orthosiphon,4
sigru,9
pterygosperma,7
surasa,18
nigra,2
bhutrna,2
arjaka,8
pallidus,4
jambira,2
Sigru,6
Jambira,4
tt,126
Sumukha,8
Doesn,9
Ardrika,3
cpt,3
lMH,2
kilasa,2
guima,16
lasuna,2
Vm,2
Grnjanaka,4
arsoroga,2
cWI,2
HM,5
visada,4
Patra,10
puspa,6
nala,8
vjfl,3
rfl,3
HJ,6
sarsapa,7
Moca,5
paradisiaca,7
sylvestris,4
jackfruit,2
heterophyllus,2
nucifera,13
amrataka,3
pinnata,11
flabellifer,4
Kadali,10
mm,8
Narikela,7
Parusaka,4
Karamarda,5
Amrataka,4
Madhuka,37
Badara,8
arborea,9
rajadana,3
hexandra,5
badara,16
jujuba,10
lamarckii,2
phalgu,3
aksoda,2
Himalayas,11
nikocaka,2
indicus,20
armeniaca,2
priyala,8
Buchanania,5
lanzan,3
dlcH,2
chl,6
ij,5
Kasmarya,5
Mm,4
snigdhaguna,3
anusna,3
pittaand,3
Ripened,4
kapittha,25
limonia,5
VI,46
cumini,5
obstructs,21
Magnifera,4
rn,3
spicigera,2
persica,4
matuluhga,3
medica,7
stamens,13
asyasosa,2
Matuluhga,3
guajava,2
karamardaka,2
karkandhu,3
lakoocha,6
limon,3
belerica,3
karamarda,2
amlika,5
klama,4
Dantasatha,2
Tj,2
Grains,4
reptiles,2
matured,28
bilwa,43
salts,29
suksma,13
mrdu,21
visyandi,2
Sauvarcala,9
hl,2
sauvarcala,30
Yavasukaja,2
yavaksara,4
galaroga,3
WTO,2
foetida,5
MHI,6
fM,6
dJJU,2
chebula,12
urustambha,10
kaphaja,75
vataja,5
Emblica,9
Panca,8
infections,2
Heals,2
Dries,2
Caturjataka,3
Twak,11
Nagakesara,4
zeylanicum,4
patra,44
tamala,8
Elattaria,4
cardamomum,12
trijataka,2
nagakesara,8
ferrea,5
Absorbs,2
officinale,9
longum,13
chaba,3
cavya,40
cavika,5
udararoga,17
Kasmari,2
Patala,15
Tintuka,3
sriphala,2
gambhari,2
Gmelena,2
arbora,2
amogha,2
Stereospermum,4
sauveolens,4
syonaka,3
Oroxylum,7
rf,16
Kantakari,7
Saliparni,3
parni,7
Goksura,3
terrestris,5
Madhurarasa,2
Sidacordifolia,2
Punarnava,28
communis,8
Surpa,6
trilobus,8
Masaparni,3
labialis,6
Jivaniya,6
Abhiru,5
Rsabhaka,2
bipinnata,6
Desmostachya,6
valli,2
kantaka,3
Gymnema,5
Haridra,76
Hemidesmus,9
Tinosporacordifolia,2
racemosa,13
sepiaria,2
maiiisa,3
ousadha,7
Suka,4
corns,3
dala,6
dadima,19
raksa,2
landlords,2
associates,3
lords,5
physicians,34
nearer,5
ift,2
protected,22
attaining,6
decisions,2
habits,17
chU,7
separated,8
takes,82
looses,3
emits,21
flames,5
particles,9
rbl,2
fcl,2
Curries,2
altered,9
lines,37
edges,24
threads,6
bubbles,2
rTOT,5
Pl,8
VKH,2
fiy,2
pegion,3
Tusodaka,3
tips,9
Vessels,2
pearls,8
wares,7
detected,6
answers,2
Makes,4
Emits,2
lfa,2
ftc,3
cHH,2
crows,5
Jivanjiva,2
Cakora,3
passes,30
Med,15
eruptions,25
Parisheka,2
Pralepa,5
sevya,3
zizanioides,6
padmaka,41
cerasoides,5
talisapatra,2
baccata,6
amrta,6
cordifolia,19
nata,4
granthitagara,4
wallichi,5
HMI,2
lH,5
Horripilations,2
functioning,3
Diarrhoea,5
Followed,4
Aya,3
daruharidra,32
arishtata,3
katabhi,3
sirlsa,2
Vitex,5
nispava,3
hingu,13
mula,12
lic,3
swarna,2
sana,4
gms,71
ven,2
ksoudra,11
virudhaka,2
stalks,14
tadish,2
flcl,2
Mrl,3
lPl,2
varaha,3
dadhi,10
Virudhaka,2
ajya,2
pippall,94
kakamaci,3
aruskara,4
bhallataka,18
kampillaka,16
philippinensis,4
Payasa,8
krsara,2
khicadi,2
Tft,3
puskara,2
Prain,6
iM,5
kulmasa,2
peas,6
Cooked,9
eranda,22
haridra,4
diets,6
opposes,3
examples,5
cited,5
boils,32
perceptions,2
vata,44
Hfi,2
lT,2
JJU,3
fMl,2
NH,3
farH,2
OTT,5
brahmacarya,5
supports,9
endowed,22
solids,3
manifests,12
stirs,2
fT,20
bt,3
vehicles,16
ensures,2
sayana,3
staimitya,2
Va,14
HIcH,2
HH,6
Navana,5
Lahghana,3
Vyavaya,2
nidra,4
nasa,4
fru,2
jrmbha,2
apakti,3
Tandra,3
flH,4
abhyanga,7
aksitarpana,2
anointing,35
Performing,2
Controlling,2
suffered,2
Caused,7
kheda,2
prabha,3
Agantuka,5
delivered,11
preceptors,9
celestials,5
postures,4
delayed,9
fld,4
cM,7
OTR,2
prasanna,3
dries,13
controls,9
rites,19
lehya,2
plays,3
MNI,2
JH,3
articles,50
discharged,12
discomforts,2
tremors,11
Ru,3
lNI,4
gg,8
iJ,3
rb,3
Hf,5
converts,3
amavisa,3
transformed,41
df,5
pj,2
rocksalt,7
fomented,40
samsarjana,6
Mt,4
Alasya,3
MTT,2
crops,2
viparita,4
cured,22
improved,7
asti,2
mptoms,7
cheeks,15
eyelids,23
udgara,6
Praseka,2
Gaurava,2
Adhmana,3
Sada,2
Bhrama,6
Amlodgara,2
Daha,5
Vidagdhajirna,2
Vistabdhajirna,2
suggests,6
rasasesajirna,3
ajlrna,2
easih,2
Maruta,3
mudhata,2
fri,6
Samasana,4
adhyasana,2
Visamasana,2
WS,7
Adhyasana,2
qr,7
rr,7
dr,9
inspissated,4
evaporating,2
fermented,29
avi,4
sativa,10
aestivum,5
lands,10
jivanti,6
pathya,7
haritakl,2
cucumerina,7
ariga,2
kiratatikta,2
sthira,9
officinarum,7
modaka,3
HHJI,3
Helps,4
attains,32
Ft,4
Amadosa,3
Rules,4
concepts,5
iq,2
Mfli,2
Mc,6
pahca,2
udaka,2
tejas,5
parthiva,5
apya,2
drava,12
jaliya,2
unct,4
HW,8
Vayaviya,2
prthi,3
Co,7
cu,22
iU,3
attributed,8
alleviating,102
ascertained,12
MHK,2
jd,2
enzymes,3
overlooked,2
stronger,14
defeats,2
defeated,2
galactogogue,4
montanum,5
danti,5
yastimadhu,14
yasti,6
vicitra,3
Vijnamya,3
CL,29
starts,19
atoms,2
impelled,13
culminating,3
reached,12
proportions,6
Lav,3
Forms,3
flies,11
Stimulates,2
horripilations,2
eyebrows,9
fci,3
accumulations,2
chd,2
lfti,2
tf,8
WW,4
Aggravates,2
wrinkles,13
Mj,3
jmi,2
VJ,5
rashes,12
clotting,2
Decreases,5
Results,3
chMN,2
adhering,5
vessels,53
TrT,2
hema,5
abhiru,2
satavari,3
jivaniya,8
pahcamula,2
atibala,13
nagabala,2
veronicaefolia,2
meda,25
mahameda,2
astavarga,3
mudgaparni,5
masaparni,6
Teramnus,5
saliparni,4
gangeticum,6
prsniparni,5
Uraria,8
picta,6
jivaka,18
rsabhaka,5
glabra,19
bimbi,3
Coccinia,4
vidari,9
sravani,2
Sphaeranthus,4
mahasravani,2
locana,4
arundinacea,4
dugdhika,3
goksura,16
mla,2
amlavetasa,14
rajata,4
takra,3
cukra,3
vesicarius,2
bhavya,3
Rajata,6
bida,14
samudra,3
romaka,2
sisa,2
Sisa,2
IW,3
afl,3
vettiveroides,5
Usira,7
bhunimba,2
paniculata,6
nimba,75
Azadirachta,7
kurroa,3
tagara,30
wallichii,7
agallocha,10
vatsaka,3
Holarrhena,5
antidysenterica,10
Naktamala,4
karanja,17
Pongamia,9
rotundus,8
tenacissima,6
Adhatoda,4
apamarga,4
ayas,2
guduci,10
Fagonia,3
cretica,3
brhat,3
tintuka,4
brhati,10
kantakari,4
colocynthis,8
ativisa,4
heterophyllum,8
vaca,61
pungents,8
sunthl,2
kutheruka,2
astringents,9
Pathya,8
aksa,3
bellerica,3
lebbeck,5
Anthocephalus,6
udumbara,24
mukta,5
pravala,2
gairika,10
padma,7
Ny,4
Kadamba,5
Udumbara,3
Mukta,2
Pravala,6
pippali,3
abhaya,3
MW,3
NK,2
hr,2
faa,9
levels,2
utilized,2
emotions,3
fills,7
Jj,2
pnoea,2
sweets,8
vatarakta,34
spots,13
glands,49
jy,2
dJ,2
TJ,5
dU,6
discharges,26
fftf,2
iftl,2
cfT,3
directions,20
cc,2
sites,14
mT,2
fR,2
fq,3
infers,4
indicates,23
sveda,72
maihsa,2
resides,9
Viz,2
asrayas,3
versa,18
diminishing,6
planned,3
eggs,16
states,10
cauterisation,25
staying,3
Dhatwagni,3
jatharagni,4
flared,2
localized,2
foetus,32
ndl,2
circulating,4
confer,2
rft,4
managed,51
oT,8
wishes,5
cfc,2
imbalanced,5
TFt,2
Seats,15
Rj,3
cW,4
diy,5
Divisions,2
Paficavidha,3
kledaka,2
swallowing,2
Udana,6
Producing,19
Vyana,8
closing,14
nutrients,6
supplying,2
gastro,8
Apana,8
lW,2
dlcj,2
obtains,3
anala,3
located,117
amasaya,5
Bhrajaka,4
Remaining,2
contributing,4
Bodhaka,3
Tarpaka,3
Slesaka,3
Joints,8
yi,7
cn,3
Prakopa,10
Prasama,4
sitaguna,3
Usnaguna,2
caya,6
prakopa,10
ith,7
liquified,7
lri,3
toes,4
ftH,4
UWI,3
vaisamya,3
sattwa,4
Ayoga,6
ayoga,4
ects,2
iv,10
rains,27
faculties,3
mithvayoga,3
movements,35
Manasika,4
abhyantara,3
Rogamarga,2
Raktadayastwak,2
Marma,7
siras,3
vyanga,3
Yaksma,3
paksavadha,3
trika,6
goitre,7
alaji,3
lumps,10
srotas,15
madhya,16
odema,2
vidradhi,9
ligaments,23
yaksma,2
murdhadi,2
recognised,7
throbbing,4
contractions,2
spandana,2
compressing,2
rasata,3
cR,3
fcT,3
paka,5
kleda,3
sadana,4
mada,5
colours,17
gourava,3
upalepa,2
sweta,9
karmaja,4
lives,14
Sankara,4
inspite,6
Svatantra,3
Paratantraroga,2
Purogami,2
Anugami,2
chK,2
Uli,3
cN,2
dJI,4
dfM,2
gHM,2
Dusya,3
vaya,9
satmya,3
ty,24
lcb,2
TTcT,2
Ij,2
sais,6
Wt,13
niya,5
ild,2
poultices,16
massaging,8
Oleating,5
sources,14
jumping,4
cloths,5
saihsargaja,2
dM,3
bd,6
antidotes,10
JHI,2
WN,3
Hli,3
qJI,2
Pc,2
Rw,2
anila,4
indi,3
nisthiva,3
wastes,4
Sama,11
Nirama,2
Solidified,2
MHH,2
yJ,2
accumulating,2
scrobiculatum,3
iTt,2
dlHJI,2
routes,3
arrested,5
expelling,5
ignored,4
dj,2
rW,2
bMc,2
embodied,4
Mli,2
rlJI,2
progressing,2
llc,2
yidl,2
grase,2
muhuh,2
Ananna,2
adi,4
Grasa,2
Sabhojya,2
Nisi,4
vikara,11
Kampa,2
Urdhwa,2
Sahgraha,4
pragbhakta,3
madhyabhakta,2
adhobhakta,2
samabhakta,2
anantara,2
samudga,2
muhurmuhuh,2
sagrasa,3
grasantara,2
morsels,6
extremities,19
Mixing,2
convulsions,15
localised,15
nisi,2
ITT,4
adds,4
lfd,2
ruksana,5
stambhana,7
Dvividhopakramaniya,4
lahghana,6
expels,8
excites,10
Pacana,5
carmination,7
atapa,3
sadupakramas,2
Stambhana,5
Ruksana,2
Brriihana,3
walks,2
inducing,5
Dipana,17
nigrahana,3
Atapa,5
carminatives,2
Exposing,3
requires,7
facilitates,2
bhagandara,2
mutrakrcchra,3
dysurea,7
Drinks,2
scarifying,10
Powders,12
Rasanjana,7
Guggulu,26
Agnimantha,24
svarasa,2
vidanga,20
lohabhasma,3
Vidanga,21
Ativisa,2
Yavani,3
Dhanyaka,9
Daruharidra,6
Hapusa,2
talks,7
fai,2
madira,2
Mantha,8
vrksamla,2
brihhana,2
Brhmana,3
Saiiihita,2
mitigating,3
describing,13
sirovirecana,2
Madanal,2
madanaphala,45
dumatorum,4
madhukal,2
ikswaku,2
indravaruni,3
kutaja,15
Holarrhina,6
echinata,3
nicula,6
dhamargava,3
cylindrica,3
Madana,31
Kutaja,17
Karanja,11
Nikumbha,2
trivrt,11
Operculina,6
turpethum,6
nerifolia,4
sankhini,2
ternatia,2
tilvaka,16
aragwadha,3
swarnaksiri,2
mexicana,3
dugdha,5
Samyaka,2
Aragwadha,4
Kampillaka,9
Hemadugdha,2
dasamula,15
devadaru,32
rasna,17
lanceolata,5
satapuspa,2
graveolens,8
kulattha,13
Trivrit,27
vyosa,2
srivestaka,2
roxburghii,3
sirisa,7
Tarksyasaila,2
rasanjana,4
cardamum,2
subulatum,3
prthvika,2
Ela,15
Vella,2
TS,13
Veleriana,2
vidaryadi,3
Bhadradaru,6
Nata,3
Granthitagara,2
Atibala,3
Prsniparni,2
dactylon,4
sariba,4
gundra,4
elephantina,5
gunja,2
precatorius,2
priyahgu,6
macrophyllum,2
padmakadi,4
sthire,2
vanya,4
ganas,3
Musta,17
Vatsaka,7
kakoli,2
Roscoea,3
verticillatum,2
muscifera,2
vrscikali,2
Pergularia,4
extensa,3
hamsapadi,2
lunulatum,2
abdomi,2
nal,10
Sariba,4
zizanoides,4
dvaya,9
santalinus,4
dm,4
kadi,2
fel,2
Padmaka,9
srhgi,2
integerrima,3
Tinospore,2
triphala,3
katphala,10
nagi,4
grandis,7
Srotonjana,2
macrophylla,6
mamsi,2
jatamamsi,3
Nardostachys,10
Mesuaferrea,2
Picrorrhiza,2
kurrooa,2
tinacissima,4
pareira,4
Guduchi,14
Aragvadha,19
indrayava,31
kakatikta,2
madhurasa,2
saireyaka,5
Barleria,9
bondue,3
saptacchada,2
scholaris,2
prionitis,6
Ziziphus,2
bhurja,3
prakirya,2
putikaranja,3
kadara,3
suma,3
sylvestre,3
tada,2
palasa,8
monosperma,7
robusta,5
Anogeissus,4
kramuka,7
turbinatus,3
asvakarna,3
alatus,2
tees,2
religiosa,5
yugma,3
kurabaka,2
cristata,2
dahana,3
bilva,50
dvi,2
tarkari,3
hintala,2
Usaka,2
Kalhara,2
kasisa,3
silajatu,2
Viratarvadi,2
Dichrostachys,2
Clerodendrum,7
buka,2
vrsa,3
Bergenia,2
ligulata,2
itkata,2
bispinosa,3
sahacara,9
spontaneum,3
longiflorus,2
Viratara,2
externa,2
Wc,3
lodhra,40
Lannea,5
sarala,6
longifolia,4
Saraca,3
Boswelliaserrata,2
Lodhra,9
gigantea,4
oblongifolius,2
langali,2
superba,3
bharngi,3
serratum,6
agyptiaca,2
cleanses,10
vidahga,17
reniformis,2
kasamarda,3
occidentals,2
Centipeda,2
balsmifera,2
nuxvomica,2
Muskaka,3
glaucum,3
snuhi,5
rohini,2
jiraka,22
Cuminum,3
cyminum,4
aralu,5
excelsa,3
ajamoda,7
carvi,2
hihgu,2
Embeliaribes,2
ajagandha,10
Gynandropsis,3
gynandra,2
Haridradi,3
jalada,2
hantaki,4
daru,3
amatisara,2
Ambasthadi,2
srotonjana,4
padmakesara,2
manjistha,2
Salmalia,5
malabarica,5
mocarasa,15
lajjalu,8
pudica,5
punnaga,2
hetu,5
dhataki,7
retusa,3
dhanvayasa,5
rodhra,2
Woodfordia,4
unites,2
Ambastha,2
nisa,3
asvattha,2
glomerata,2
jambu,5
kapitana,2
somavalka,3
plaksa,4
lacor,3
vetasa,17
caprea,2
tinduka,4
tomentosa,3
lt,8
orientalis,2
phalini,2
dhyamaka,3
sprkka,2
coraka,11
glauca,4
twak,54
granthi,22
myrrha,2
nakha,18
horrida,2
Aquileria,2
kurhkuma,2
mukul,6
sarjarasa,8
khapura,2
kunduruka,2
serrata,6
Syama,4
Baliospermum,3
dravanti,3
sikhari,2
pescaprae,2
pilu,7
Tl,4
Prescribing,2
quatha,4
krcchra,3
guducyadi,3
hara,42
jwarahara,2
pranidhana,2
moksana,3
kathina,2
dHJ,4
Sarpih,4
sarpih,4
heavier,15
yamaka,4
mahan,2
contacts,2
Emaciated,2
Administering,3
Channels,12
injuries,3
prolapsed,6
Using,3
seka,5
picu,6
karnapurana,4
satiating,2
Accha,2
yamas,3
uttama,3
Hrasva,5
personalities,2
lti,3
cblc,2
occurring,15
tuvaraka,2
maintained,6
pillows,2
wii,5
Purva,6
ac,8
tly,4
faults,3
utklesa,2
Takrarista,2
gomutra,3
RH,2
uf,64
Recipes,2
UI,9
Krsara,2
prasrta,35
tandula,3
functioned,2
VIDHI,6
Sveda,11
induces,3
madhayama,2
sahkara,2
prastara,5
eda,9
pariseka,3
asmaghana,2
karsu,3
kuti,2
bhu,2
kumbhi,3
holaka,3
jentaka,4
ksudha,2
krodha,2
upanaha,11
plasters,19
Poultices,2
bandaging,29
kinwa,2
anc,8
ther,5
vapors,2
utkarika,4
losta,2
kapala,3
upala,2
karisa,2
sikata,3
tusa,2
civ,2
ifR,2
eka,3
Sirisa,2
varhsa,2
arka,29
dirghavrnta,2
vacadi,2
pitchers,2
holes,13
anointed,20
affects,32
