IAST_normalized,ASCII
akṛtrimaviṣam,akritrimavisham
akṣaḥ,akshah
akṣakaḥ,akshakah
akṣakasandhiḥ,akshakasandhih
akṣakāsthi,akshakaasthi
akṣam,aksham
akṣaprasādanam,akshaprasaadanam
akṣaralekhanasaṁskāraḥ,aksharalekhanasaṁskaarah
akṣatā,akshataa
ākṣepakaḥ,aakshepakah
akṣi,akshi
akṣi_golakam,akshi_golakam
akṣigolakatvak,akshigolakatvak
akṣikanīnikā,akshikaniinikaa
akṣikoṣaḥ,akshikoshah
akṣikūṭaḥ,akshikuutah
akṣimalaḥ,akshimalah
akṣīṇabalamāṃsasya_raktapittastambhanam,akshiinabalamaamsasya_raktapittastambhanam
akṣipākaḥ,akshipaakah
akṣipakṣma,akshipakshma
akṣipakṣma,akshipakshma
akṣipuṭam,akshiputam
akṣivartma,akshivartma
akṣivartmakoṣaḥ,akshivartmakoshah
alābū_avacaraṇam,alaabuu_avacaranam
alajī,alajii
alajī_pramehapiḍakā,alajii_pramehapidakaa
alajīśūkarogaḥ,alajiishuukarogah
alarkaviṣaḥ,alarkavishah
alasaḥ,alasah
alāsaḥ,alaasah
alasaka_ajīrṇam,alasaka_ajiirnam
alasakakuṣṭhaḥ,alasakakushthah
alasaka;_visūcika;_āma_prajāta;_āmātisāriṇāma_āsthāpanasyavyāpadaḥ,alasaka;_visuucika;_aama_prajaata;_aamaatisaarinaama_aasthaapanasyavyaapadah
alasakuṣṭhaḥ,alasakushthah
ālepaḥ,aalepah
ālepakarma_(vraṇacikitsā),aalepakarma_(vranacikitsaa)
alikam,alikam
alobhaḥ,alobhah
ālocaka_pittam,aalocaka_pittam
alpapravṛttaraktaḥ,alpapravrittaraktah
alpaśukratā,alpashukrataa
āma,aama
āmajajvaraḥ,aamajajvarah
āmajatṛṣṇā,aamajatrishnaa
āmājīrṇam,aamaajiirnam
āmapakvāśayaḥ,aamapakvaashayah
amarā,amaraa
āmāśayagatavātaḥ,aamaashayagatavaatah
āmāśayaḥ,aamaashayah
āmāśayasamuttharogaḥ,aamaashayasamuttharogah
āmāśayastha_rudhiraḥ,aamaashayastha_rudhirah
āmaśophaḥ,aamashophah
āmaśūlaḥ,aamashuulah
āmātisāraḥ,aamaatisaarah
āmātisārasaṅgrahaḥ,aamaatisaarasangrahah
āmāvastha,aamaavastha
āmavātaḥ,aamavaatah
āmayaḥ,aamayah
ambu,ambu
ambumārgaḥ,ambumaargah
ambuvahasrotas,ambuvahasrotas
ambuvargaḥ,ambuvargah
amla_avasthāpākaḥ,amla_avasthaapaakah
amla_rasaḥ,amla_rasah
amlādhyuṣitaḥ,amlaadhyushitah
amlamehaḥ,amlamehah
amlapittam,amlapittam
amlarasātiyogaḥ,amlarasaatiyogah
amlaskandhaḥ,amlaskandhah
amlasūpaḥ,amlasuupah
amloṣitaḥ,amloshitah
amṛtīkaraṇam,amritiikaranam
aṃsabandhanam,amsabandhanam
aṃsadeśaḥ,amsadeshah
aṃsaḥ,amsah
aṃsakūṭaḥ,amsakuutah
aṃsamūlam,amsamuulam
aṃsaphalakaḥ,amsaphalakah
aṃsaphalakam_(marma),amsaphalakam_(marma)
aṃsapiṇḍaḥ,amsapindah
aṃsapiṇḍikā,amsapindikaa
aṃsapīṭham,amsapiitham
aṃsasandhiḥ,amsasandhih
aṃsaśoṣaḥ,amsashoshah
amūrtadravyam,amuurtadravyam
anādi,anaadi
anāgatavekṣaṇam,anaagatavekshanam
ānāhaḥ,aanaahah
ānāhaḥ,aanaahah
anāmikā,anaamikaa
anamlasūpaḥ,anamlasuupah
ānanam,aananam
anannam,anannam
anantavātaḥ,anantavaatah
ananuyojyam,ananuyojyam
anaujasyam,anaujasyam
anavabaddhaśalyam,anavabaddhashalyam
anavabaddhaśalyoddharaṇa_hetuḥ,anavabaddhashalyoddharana_hetuh
anāyuṣyam,anaayushyam
āñchanakarma,aanchanakarma
aṇḍaḥ,andah
aṇḍajaḥ,andajah
aṇḍakoṣaḥ,andakoshah
andhapūtanāgrahaḥ,andhapuutanaagrahah
anekāntaḥ,anekaantah
aṅga_pradeśaḥ,anga_pradeshah
aṅgaḥ,angah
aṅgajam,angajam
aṅgārtibastivyāpat,angaartibastivyaapat
aṅgulaḥ,angulah
aṅgulāsthi,angulaasthi
aṅguligranthiḥ,anguligranthih
aṅguliḥ,angulih
aṅguliparva,anguliparva
angulyagram,angulyagram
aṅguṣṭhaḥ,angushthah
aṅguṣṭhamūlam,angushthamuulam
aṅguṣṭhodaram,angushthodaram
āṇi_(marma),aani_(marma)
anilāyanam,anilaayanam
anilāyanam,anilaayanam
animittajanya_dṛṣṭigatarogaḥ,animittajanya_drishtigatarogah
aninditaśalākā,aninditashalaakaa
anirdeśyarasaḥ,anirdeshyarasah
anityam,anityam
añjana_apacāraḥ,anjana_apacaarah
añjanam,anjanam
añjanam,anjanam
añjanam_(viṣopakramaḥ),anjanam_(vishopakramah)
añjanamithyāyogaḥ,anjanamithyaayogah
añjananāmikā,anjananaamikaa
añjanātiyogaḥ,anjanaatiyogah
annādaḥ,annaadah
annādau,annaadau
annadravaśūlaḥ,annadravashuulah
annajāhikkā,annajaahikkaa
annalepana,annalepana
annamārgaḥ,annamaargah
annaprāśanasaṁskāraḥ,annapraashanasaṁskaarah
annasampuṭam,annasamputam
annāśayaḥ,annaashayah
annāśī,annaashii
annavahasrotas,annavahasrotas
annavahasrotoduṣṭiḥ,annavahasrotodushtih
annavahasrotoviddhaḥ,annavahasrotoviddhah
anṛtau_durdine_nasya_vyāpadaḥ,anritau_durdine_nasya_vyaapadah
antaḥ,antah
