IAST_normalized,ASCII
bhūtātmā,bhuutaatmaa
bhūtavidyā,bhuutavidyaa
biḍālakaḥ,bidaalakah
bīja,biija
bījabhāgaḥ,biijabhaagah
bījabhāgāvayavaḥ,biijabhaagaavayavah
bījakaḥ,biijakah
bījam,biijam
bījopaghātajanya_klaibyam,biijopaghaatajanya_klaibyam
bisavartma,bisavartma
bodhaka_kaphaḥ,bodhaka_kaphah
bodhanam,bodhanam
bradhna,bradhna
bradhnaḥ,bradhnah
brahmacaryam,brahmacaryam
brahmakāyaḥ,brahmakaayah
bṛhatī_(marma),brihatii_(marma)
bṛhattrayī,brihattrayii
bṛṃhaṇa_apacāraḥ,brimhana_apacaarah
bṛṃhaṇa_atiyogaḥ,brimhana_atiyogah
bṛṁhaṇacikitsā,briṁhanacikitsaa
bṛṃhaṇadhūmapānam,brimhanadhuumapaanam
bṛṁhaṇam,briṁhanam
bṛmhaṇam_(vraṇacikitsā),brimhanam_(vranacikitsaa)
bṛmhaṇanasyam,brimhananasyam
bṛṃhaṇīyaḥ,brimhaniiyah
budbudam,budbudam
buddhiḥ,buddhih
caitanyam,caitanyam
cakṣuḥ,cakshuh
cakṣurindriyam,cakshurindriyam
cakṣuṣyam,cakshushyam
calācala_sandhikṣataḥ,calaacala_sandhikshatah
cālanakarma,caalanakarma
caṇakāmlaḥ,canakaamlah
candrakāntaḥ,candrakaantah
candramaṇḍalavat_chedaḥ,candramandalavat_chedah
capalaḥ,capalah
Carakasaṃhita,carakasamhita
carma,carma
carmadala_kuṣṭhaḥ,carmadala_kushthah
carmakīlaḥ,carmakiilah
carmakuṣṭhaḥ,carmakushthah
carvyam,carvyam
caturtha_madaḥ,caturtha_madah
caturthakaviparyayaviṣamaj_varaḥ,caturthakaviparyayavishamaj_varah
caturthakaviṣamajvaraḥ,caturthakavishamajvarah
caturthamāsa_garbhaḥ,caturthamaasa_garbhah
caturthapaṭalagata_doṣaḥ,caturthapatalagata_doshah
caturvidhadantajanma,caturvidhadantajanma
caturvidhahetuḥ,caturvidhahetuh
caturviṃśati_puruṣaḥ,caturvimshati_purushah
caturviṃśatiyantrakarma,caturvimshatiyantrakarma
ceṣṭā,ceshtaa
ceṣṭāvantasandhiḥ,ceshtaavantasandhih
cetaḥ,cetah
cetaḥsthānam,cetahsthaanam
cetanā,cetanaa
cetana_dravyam,cetana_dravyam
chadanam,chadanam
chalaḥ,chalah
chardighnam,chardighnam
chardiḥ,chardih
chardinigrahaja_udāvartaḥ,chardinigrahaja_udaavartah
chardinigrahaṇam,chardinigrahanam
chardivegarodhaḥ,chardivegarodhah
chedanabhedaḥ,chedanabhedah
chedanakarma,chedanakarma
chedanakarma,chedanakarma
chedanam,chedanam
chedyarogaḥ,chedyarogah
chidram,chidram
chidrodaraḥ,chidrodarah
chinnaśvāsaḥ,chinnashvaasah
cibukam,cibukam
cihnam,cihnam
cikitsā,cikitsaa
cikitsā,cikitsaa
cikitsāpacāraḥ,cikitsaapacaarah
cikitsya_puruṣaḥ,cikitsya_purushah
cīnabandhaḥ,ciinabandhah
cintanam,cintanam
cipyam,cipyam
coṣyam,coshyam
cūcukam,cuucukam
cūḍākaraṇasaṁskāraḥ,cuudaakaranasaṁskaarah
curavaḥ,curavah
cūrṇadravaḥ,cuurnadravah
cūrṇam,cuurnam
cūrṇāñjanam,cuurnaanjanam
cūrṇodakam,cuurnodakam
cūṣaṇam_(viṣopakramaḥ),cuushanam_(vishopakramah)
cūṣyam,cuushyam
dadhi_mithyopayogaḥ,dadhi_mithyopayogah
dadhikūrcikā,dadhikuurcikaa
dadhimastu,dadhimastu
dadhivargaḥ,dadhivargah
dadru_kuṣṭhaḥ,dadru_kushthah
dāhaḥ,daahah
dahanam,dahanam
dahanam,dahanam
dahanopakaraṇam,dahanopakaranam
dairghyam,dairghyam
daivabalapravṛttarogaḥ,daivabalapravrittarogah
daivavyapāśrayacikitsā,daivavyapaashrayacikitsaa
daivīcikitsā,daiviicikitsaa
dālanaḥ,daalanah
dāmabandhaḥ,daamabandhah
damaḥ,damah
ḍamaruyantram,damaruyantram
damṣṭrācikitsā,damshtraacikitsaa
daṇḍakaḥ,dandakah
daṇḍāpatānakaḥ,dandaapataanakah
danta_tvak,danta_tvak
dantabandhanam,dantabandhanam
dantādhāraḥ,dantaadhaarah
dantāgram,dantaagram
dantaḥ,dantah
dantaharṣaḥ,dantaharshah
dantajanma,dantajanma
dantamāṃsam,dantamaamsam
dantamūlam,dantamuulam
dantanāḍī,dantanaadii
dantapiṇḍikā,dantapindikaa
dantapuppuṭaḥ,dantapupputah
dantasampat,dantasampat
dantaśaṅkuśastram,dantashankushastram
dantaśarkarā,dantasharkaraa
dantavaidarbhaḥ,dantavaidarbhah
dantavalkam,dantavalkam
dantaveṣṭakaḥ,dantaveshtakah
dantaveṣṭakaḥ,dantaveshtakah
dantavidradhiḥ,dantavidradhih
dantolūkhalāni,dantoluukhalaani
dāraṇakarma,daaranakarma
dāraṇakarma,daaranakarma
dāraṇakarma,daaranakarma
darbhapuṣpaḥ,darbhapushpah
dārḍhyam,daardhyam
darpaḥ,darpah
darśana,darshana
darśanam,darshanam
dāruṇakaḥ,daarunakah
dāruṇakarma,daarunakarma
dāruṇakoṣṭha_virecanavyāpat,daarunakoshtha_virecanavyaapat
darvikayantram,darvikayantram
daśanacchadau,dashanacchadau
daśanaḥ,dashanah
daśavidhaparīkṣā,dashavidhapariikshaa
daśavidhaparīkṣyabhāvaḥ,dashavidhapariikshyabhaavah
dauhṛdāpacārakṛtarogaḥ,dauhridaapacaarakritarogah
dehaḥ,dehah
deśaḥ,deshah
deśaḥ,deshah
deśaḥ,deshah
devaśatrujuṣṭonmādaḥ,devashatrujushtonmaadah
devonmādaḥ,devonmaadah
ḍhālanam,ḍhālanam
Dhamanī,dhamanii
dhamanīgata_śalyaḥ,dhamaniigata_shalyah
dhamanīmarma,dhamaniimarma
dhanuḥstambhaḥ,dhanuhstambhah
dhānyāmladhārā,dhānyāmladhārā
dhāram,dhaaram
dhāraṇam,dhaaranam
dhāraṇīya_vegaḥ,dhaaraniiya_vegah
dhāri,dhaari
dhātrī,dhaatrii
dhātu_pradūṣaṇam,dhaatu_praduushanam
dhātu_viṣaḥ,dhaatu_vishah
dhātugata_dūṣīviṣam,dhaatugata_duushiivisham
dhātuḥ,dhaatuh
dhātuḥ,dhaatuh
dhātukṣayajadāhaḥ,dhaatukshayajadaahah
dhātumalaḥ,dhaatumalah
dhātusāmyam,dhaatusaamyam
dhātuvaiṣamyam,dhaatuvaishamyam
dhātvagniḥ,dhaatvagnih
dhīḥ,dhiih
dhmāpanam,dhmaapanam
dhṛtiḥ,dhritih
dhūmadarśī,dhuumadarshii
dhūmaḥ,dhuumah
dhūmam_(viṣopakramaḥ),dhuumam_(vishopakramah)
dhūmanasyam,dhuumanasyam
dhūmapāna_apacāraḥ,dhuumapaana_apacaarah
dhūmapāna_atiyogaḥ,dhuumapaana_atiyogah
dhūmapāna_ayogaḥ,dhuumapaana_ayogah
dhūmapānam,dhuumapaanam
dhūmapānam_(vraṇacikitsā),dhuumapaanam_(vranacikitsaa)
dhūmapānamithyāyogaḥ,dhuumapaanamithyaayogah
dhūmaraḥ,dhuumarah
dhūpanam,dhuupanam
dhvajabhaṅgajanyaklaibyam,dhvajabhangajanyaklaibyam
dhvajaḥ,dhvajah
dhyānam,dhyaanam
dinacaryā,dinacaryaa
dinapāki_ajīrṇam,dinapaaki_ajiirnam
dīpanam,diipanam
dīpanam,diipanam
dīptaḥ,diiptah
dīrghamāyuḥ,diirghamaayuh
diśaḥ,dishah
divāndhyam,divaandhyam
dolāśayanasaṁskāraḥ,dolaashayanasaṁskaarah
dolāyantram,dolaayantram
doṣa_praśamanam,dosha_prashamanam
doṣabalapravṛttarogaḥ,doshabalapravrittarogah
doṣagatiḥ,doshagatih
doṣaghnalepaḥ,doshaghnalepah
doṣaḥ,doshah
doṣahetuḥ,doshahetuh
doṣahetuḥ,doshahetuh
doṣāndhyam,doshaandhyam
doṣaprakṛti,doshaprakriti
doṣavaiṣamyam,doshavaishamyam
doṣāvasecanam,doshaavasecanam
doṣāvasthā,doshaavasthaa
doṣopakramaḥ,doshopakramah
draṣṭā,drashtaa
dravaḥ,dravah
dravasvedaḥ,dravasvedah
dravya,dravya
dravya_sāmānyam,dravya_saamaanyam
dravya_viśeṣaḥ,dravya_visheshah
dravyabhūtacikitsā,dravyabhuutacikitsaa
dravyaguṇavignanam,dravyagunavignanam
dravyam,dravyam
dravyam,dravyam
dṛkprasādanam,drikprasaadanam
droṇaḥ,dronah
droṇī,dronii
dṛṣṭi_golakaḥ,drishti_golakah
dṛṣṭi_maṇḍalam,drishti_mandalam
dṛṣṭiḥ,drishtih
dugdham,dugdham
dugdhānnāśī,dugdhaannaashii
dugdhapāṣāṇam,dugdhapaashaanam
dugdhāśī,dugdhaashii
duḥkham,duhkham
duḥkhavardhanaḥ,duhkhavardhanah
duḥkhāyuḥ,duhkhaayuh
durdagdhaḥ,durdagdhah
durdagdham,durdagdham
dūṣīviṣa_lūtādaṣṭaḥ,duushiivisha_luutaadashtah
dūṣīviṣaḥ,duushiivishah
duṣṭapratiśyāyaḥ,dushtapratishyaayah
duṣṭaraktastaṃbhanam,dushtaraktastambhanam
duṣṭaśukram,dushtashukram
duṣṭavraṇaḥ,dushtavranah
dūṣyam,duushyam
dvandvaja_arśaḥ,dvandvaja_arshah
dvandvaja_śophaḥ,dvandvaja_shophah
dvandvajagulmaḥ,dvandvajagulmah
dvandvajaśūlaḥ,dvandvajashuulah
dvandvajavisphoṭakaḥ,dvandvajavisphotakah
dvāram,dvaaram
dveṣaḥ,dveshah
dvijabandhanam,dvijabandhanam
dvirarbudaḥ,dvirarbudah
dviretā,dviretaa
dvitīya_paṭalagatadoṣaḥ,dvitiiya_patalagatadoshah
dvitīyamāsa_garbhaḥ,dvitiiyamaasa_garbhah
dvividha_mānasika_rogaḥ,dvividha_maanasika_rogah
dvividhahetuḥ,dvividhahetuh
dvividhopakramaḥ,dvividhopakramah
ekakuṣṭhaḥ,ekakushthah
ekāntaḥ,ekaantah
ekaśephakṣīrapānam,ekashephakshiirapaanam
ekatva,ekatva
ekavṛndaḥ,ekavrindah
eṣaṇakarma,eshanakarma
eṣaṇakarma,eshanakarma
eṣaṇakarma,eshanakarma
eṣaṇīśastram,eshaniishastram
gadaḥ,gadah
gāḍhabandhana_vraṇaḥ,gaadhabandhana_vranah
gairikam,gairikam
gajapuṭaḥ,gajaputah
galabāhyam,galabaahyam
galagaṇḍaḥ,galagandah
galagrahaḥ,galagrahah
galaḥ,galah
galamaṇiḥ,galamanih
galamārgaḥ,galamaargah
galanalakam,galanalakam
galasandhiḥ,galasandhih
galaśuṇḍikā,galashundikaa
galaśuṇḍikā,galashundikaa
galaughaḥ,galaughah
galavidradhiḥ,galavidradhih
gallaḥ,gallah
gambhīrā_dṛṣṭiḥ,gambhiiraa_drishtih
gambhīra_vātaraktam,gambhiira_vaataraktam
gambhīrāhikkā,gambhiiraahikkaa
gaṇḍaḥ,gandah
gaṇḍakaḥ,gandakah
gaṇḍakarṇaḥ,gandakarnah
gaṇḍamālā,gandamaalaa
gandhaḥ,gandhah
gandhakaḥ,gandhakah
gandhamālā,gandhamaalaa
gandhanāmā,gandhanaamaa
gandharvakāyaḥ,gandharvakaayah
gandharvonmādaḥ,gandharvonmaadah
gandhavahādhamanī,gandhavahaadhamanii
gaṇḍūṣaḥ,ganduushah
gāṅgajalam,gaangajalam
gaṅgāmbu,gaṅgāmbu
garacikitsā,garacikitsaa
garaviṣaḥ,garavishah
garaviṣam,garavisham
garbhacchidram,garbhacchidram
garbhaḥ,garbhah
garbhakoṣaḥ,garbhakoshah
garbhakoṣṭhaḥ,garbhakoshthah
garbhanābhināḍī,garbhanaabhinaadii
garbhapātaḥ,garbhapaatah
garbhāśayadvāram,garbhaashayadvaaram
garbhāśayaḥ,garbhaashayah
garbhaśayyā,garbhashayyaa
garbhasrāvaḥ,garbhasraavah
garbhasthāpanam,garbhasthaapanam
garbhavastha,garbhavastha
garbhavṛddhiḥ,garbhavriddhih
garbhiṇyā_nasya_vyāpadaḥ,garbhinyaa_nasya_vyaapadah
gārbhiṇyām_vamanasya_vyapadaḥ,gaarbhinyaam_vamanasya_vyapadah
garbhodakavamana,garbhodakavamana
gardabhikā,gardabhikaa
gatiḥ,gatih
gātragrahaḥ_vamanavyāpat,gaatragrahah_vamanavyaapat
gātragrahavirecanavyāpat,gaatragrahavirecanavyaapat
gātram,gaatram
gātrapañcakam,gaatrapancakam
gaurīpāṣāṇam,gauriipaashaanam
gauryaḥsirāḥ,gauryahsiraah
gavinī,gavinii
ghanaḥ,ghanah
ghanasattvam,ghanasattvam
ghanavaṭī,ghanavatii
ghaṇṭikā,ghantikaa
ghāṭā,ghaataa
ghaṭī,ghatii
ghaṭiyantrāvacaraṇam,ghatiyantraavacaranam
gholaḥ,gholah
ghrāṇaḥ,ghraanah
ghrāṇamārgaḥ,ghraanamaargah
ghrāṇamūlam,ghraanamuulam
ghrāṇapākaḥ,ghraanapaakah
ghrāṇasrāvaḥ,ghraanasraavah
ghrāṇendriyam,ghraanendriyam
ghṛtamūrcchanam,ghritamuurcchanam
ghṛtikā,ghritikaa
ghuṇṭikā,ghuntikaa
ghuṭikā,ghutikaa
gilāyuḥ,gilaayuh
girisindūraḥ,girisinduurah
godantī,godantii
gojihvā,gojihvaa
gojihvikā,gojihvikaa
gomedakam,gomedakam
gophaṇābandhaḥ,gophanaabandhah
gophaṇikā,gophanikaa
gorasavargaḥ,gorasavargah
grahacikitsā,grahacikitsaa
grahaṇī,grahanii
grahaṇīroga,grahaniiroga
grāhī,graahii
granthiḥ,granthih
granthivisarpaḥ,granthivisarpah
grāsam,graasam
grāsāntaram,graasaantaram
grathitaḥ,grathitah
gṛdhrasī,gridhrasii
gṛhagodhikādaṣṭaḥ,grihagodhikaadashtah
grīvā,griivaa
grīvā_adhaḥsandhiḥ,griivaa_adhahsandhih
grīvāmūlam,griivaamuulam
grīvāvaṃśaḥ,griivaavamshah
gudabhraṃśaḥ,gudabhramshah
gudam,gudam
gudamaṇḍalam,gudamandalam
gudamukham,gudamukham
gudāntram,gudaantram
gudapārśvakṣetram,gudapaarshvakshetram
gudāsthi,gudaasthi
gudasthitavātaḥ,gudasthitavaatah
gudāsthivivaram,gudaasthivivaram
gudauṣṭham,gudaushtham
gudavaliḥ,gudavalih
gudopasthadeśaḥ,gudopasthadeshah
guhyam,guhyam
guhyapradeśaḥ,guhyapradeshah
gulma,gulma
gulmaḥ,gulmah
gulphaḥ,gulphah
gulphakarṇaḥ,gulphakarnah
gulphasandhiḥ,gulphasandhih
guṇa_sāmānyam,guna_saamaanyam
guṇa_viśeṣaḥ,guna_visheshah
guṇaḥ,gunah
guṇaḥ,gunah
guñjā,gunjaa
Guñjā_(bīja),gunjaa_(biija)
guruḥ,guruh
guruprāvaraṇam,gurupraavaranam
gurvādi_guṇāḥ,gurvaadi_gunaah
guṭikāñjanam,gutikaanjanam
haimam,haimam
halīmakaḥ,haliimakah
haṃsodakam,hamsodakam
hanugrahaḥ,hanugrahah
hanuḥ,hanuh
hanukāsthi,hanukaasthi
hanusandhiḥ,hanusandhih
Hanvasthi,hanvasthi
haridramehaḥ,haridramehah
haritālam,haritaalam
haritavargaḥ,haritavargah
harṣaḥ,harshah
hastāgram,hastaagram
hastaḥ,hastah
hastaḥ,hastah
hastatalam,hastatalam
hastimehaḥ,hastimehah
hatādhimanthaḥ,hataadhimanthah
hetu,hetu
hetuḥ,hetuh
hetuviparītacikitsā,hetuvipariitacikitsaa
hetuviparītaḥ,hetuvipariitah
hetuviparītārthakārī,hetuvipariitaarthakaarii
hetuvyādhiviparītaḥ,hetuvyaadhivipariitah
hetuvyādhiviparītārthakārī,hetuvyaadhivipariitaarthakaarii
hetuvyādhiviparītārthakārī,hetuvyaadhivipariitaarthakaarii
hetvābhāsaḥ,hetvaabhaasah
hetvantaram,hetvantaram
hetvarthaḥ,hetvarthah
hidhmā,hidhmaa
hikkā,hikkaa
hikkābastivyāpat,hikkaabastivyaapat
hikkānigrahaṇaḥ,hikkaanigrahanah
hikkāvegarodhaḥ,hikkaavegarodhah
himaḥ,himah
himakaṣāyaḥ,himakashaayah
hīnadagdha_arśaḥ,hiinadagdha_arshah
hīnakarṇaḥ,hiinakarnah
hīnamātrāhāraḥ,hiinamaatraahaarah
hīnaśuddhiḥ,hiinashuddhih
hiṅgulam,hingulam
hīrakam,hiirakam
hitam,hitam
hitāyuḥ,hitaayuh
holākasvedaḥ,holaakasvedah
homam,homam
hrasvajāḍyam,hrasvajaadyam
hṝdagrahavirecanavyāpat,hrridagrahavirecanavyaapat
hṛdayacaraḥ,hridayacarah
hṛdayam,hridayam
hṛdayanāḍikā,hridayanaadikaa
hṛdayasthānam,hridayasthaanam
hṛdayāvaraṇam_(viṣopakramaḥ),hridayaavaranam_(vishopakramah)
hṝdayopasaraṇam,hrridayopasaranam
hṝdayopasaraṇam,hrridayopasaranam
hṛdbastiḥ,hridbastih
hṝdgrahaḥ_vamanavyāpat,hrridgrahah_vamanavyaapat
hṛdrogaḥ,hridrogah
hṝdrogi_vamanasya_vyāpadaḥ,hrridrogi_vamanasya_vyaapadah
hṛdyam,hridyam
hṛtprāptibastivyāpat,hritpraaptibastivyaapat
icchā,icchaa
ikṣuvālikāmehaḥ,ikshuvaalikaamehah
ikṣuvargaḥ,ikshuvargah
indrabastiḥ_(marma),indrabastih_(marma)
indraluptaḥ,indraluptah
indraviddhā,indraviddhaa
indriyam,indriyam
indriyāntara_sañcāraḥ,indriyaantara_sancaarah
irivellikā,irivellikaa
īrṣyābhirati,iirshyaabhirati
īrṣyakaḥ,iirshyakah
jaghanakapālaḥ,jaghanakapaalah
jaghanam,jaghanam
jala_srāvaḥ,jala_sraavah
jāladharā_sirā,jaaladharaa_siraa
jālagardabhaḥ,jaalagardabhah
jalam,jalam
jālam,jaalam
jālandharā,jaalandharaa
jalaukāvacaraṇam,jalaukaavacaranam
Jalavāhinīsirā,jalavaahiniisiraa
jalavargaḥ,jalavargah
jālinī_pramehapiḍakā,jaalinii_pramehapidakaa
jalpaḥ,jalpah
jāṅgalamāṃsātyupayogaḥ,jaangalamaamsaatyupayogah
jaṅgamaḥ,jangamah
jāṅgamaḥ,jaangamah
jāṅgamaviṣa_adhiṣṭhānam,jaangamavisha_adhishthaanam
jaṅgamaviṣaḥ,jangamavishah
jāṅgamaviṣam,jaangamavisham
jaṅghā,janghaa
jaṅghā_piṇḍikā,janghaa_pindikaa
jaṅghāsthinī,janghaasthinii
janmabalapravṛttarogaḥ,janmabalapravrittarogah
jānu,jaanu
jānubastiḥ,jaanubastih
jānukapālikā,jaanukapaalikaa
jānusandhiḥ,jaanusandhih
jānvadhaḥsandhiḥ,jaanvadhahsandhih
jarācikitsā,jaraacikitsaa
jarājanyaklaibyam,jaraajanyaklaibyam
jaraṇaśaktiḥ,jaranashaktih
jarāśoṣaḥ,jaraashoshah
jarāyuḥ,jaraayuh
jarāyujaḥ,jaraayujah
jātakarma,jaatakarma
jātakarmasaṁskāraḥ,jaatakarmasaṁskaarah
jātamātraḥ,jaatamaatrah
jāṭharāgniḥ,jaatharaagnih
jaṭharam,jatharam
jātiḥ,jaatih
jatru,jatru
jatrumūlam,jatrumuulam
jatrūrdhvacikitsā,jatruurdhvacikitsaa
jatrūrdhvamarma,jatruurdhvamarma
jatrusandhiḥ,jatrusandhih
jatumaṇiḥ,jatumanih
jentākasvedaḥ,jentaakasvedah
jihvā,jihvaa
jihvā_mūlam,jihvaa_muulam
jihvā_prabandhaḥ,jihvaa_prabandhah
jihvā_sevanī,jihvaa_sevanii
jihvābandhanam,jihvaabandhanam
jihvāgram,jihvaagram
jihvāmūlagatamalaḥ,jihvaamuulagatamalah
jihvāstambhaḥ,jihvaastambhah
jihvātalam,jihvaatalam
jijñāsā,jijnaasaa
jīvādānam_vamanavyāpat,jiivaadaanam_vamanavyaapat
jīvādānavirecanavyāpat,jiivaadaanavirecanavyaapat
jīvaḥ,jiivah
jīvanam,jiivanam
jīvanīyaḥ,jiivaniiyah
jīvanīyaḥ,jiivaniiyah
jīvanmuktiḥ,jiivanmuktih
jīvaraktāśayaḥ,jiivaraktaashayah
jīvitadhāma,jiivitadhaama
jīvitam,jiivitam
jīvitāyatanam,jiivitaayatanam
jñaḥ,jnah
jñānam,jnaanam
jñānam,jnaanam
Jñānendrayagatavāta,jñānendrayagatavāta
jñānendriyam,jnaanendriyam
jṛmbhānigrahaja_udāvartaḥ,jrimbhaanigrahaja_udaavartah
jṛmbhāvegarodhaḥ,jrimbhaavegarodhah
jvara,jvara
jvaraḥ,jvarah
jvarapūrvarupam,jvarapuurvarupam
jyotisthānam,jyotisthaanam
kacaḥ,kacah
kacāntaḥ,kacaantah
kacchapaḥ_(kacchapī),kacchapah_(kacchapii)
kacchapikā,kacchapikaa
kacchapikā_pramehapiḍakā,kacchapikaa_pramehapidakaa
kacchū,kacchuu
kadaraḥ,kadarah
kajjalī,kajjalii
kākalakam,kaakalakam
kākalam,kaakalam
kākaṇakaḥ,kaakanakah
kākauṣṭhaka,kaakaushthaka
kakerukaḥ,kakerukah
kakṣā,kakshaa
kakṣābhāgaḥ,kakshaabhaagah
kakṣadharaḥ_(marma),kakshadharah_(marma)
kakṣādharaḥ_(marma),kakshaadharah_(marma)
kakṣaḥ,kakshah
kakṣāḥ,kakshaah
kalā,kalaa
kalā,kalaa
kālabalapravṛttarogaḥ,kaalabalapravrittarogah
kālabastiḥ,kaalabastih
kālaḥ,kaalah
kālaḥ,kaalah
kālaḥ,kaalah
kālaḥ,kaalah
kālaja_balam,kaalaja_balam
kālajarogaḥ,kaalajarogah
kālakhaṇḍaḥ,kaalakhandah
kalalam,kalalam
kālamānaḥ,kaalamaanah
kālamehaḥ,kaalamehah
kālāntaraprāṇaharamarma,kaalaantarapraanaharamarma
kālaprakarṣaḥ,kaalaprakarshah
kālapratīkṣā,kaalapratiikshaa
kālasamprāptiḥ,kaalasampraaptih
kalāvikā,kalaavikaa
kalāyakhañjaḥ,kalaayakhanjah
kāleyakam,kaaleyakam
kāleyam,kaaleyam
Kālikā,kaalikaa
kālikā,kaalikaa
kālīyakam,kaaliiyakam
kālīyam,kaaliiyam
kalkaḥ,kalkah
kalkaḥ_(vraṇacikitsā),kalkah_(vranacikitsaa)
kalpanā,kalpanaa
kāmādivyagramanaso_virecanavyāpat,kaamaadivyagramanaso_virecanavyaapat
kāmaḥ,kaamah
kāmalā,kaamalaa
kāmasirā,kaamasiraa
kāmbalikaḥ,kaambalikah
kāṃkṣī,kaamkshii
kampaḥ,kampah
kampillakaḥ,kampillakah
kāṃsyam,kaamsyam
kāmyarasāyanam,kaamyarasaayanam
kāṇḍam,kaandam
kaṇḍarā,kandaraa
kaṇḍūghnaḥ,kanduughnah
kaṇḍūharaḥ,kanduuharah
kaṇḍūpraśamanaḥ,kanduuprashamanah
kanīnasandhiḥ,kaniinasandhih
Kanīnikā,kaniinikaa
kaniṣṭhikā,kanishthikaa
kāñjī,kaanjii
kāñjikam,kaanjikam
kāñjikam,kaanjikam
kaṅkuṣṭham,kankushtham
kaṇṭhagatarogaḥ,kanthagatarogah
kaṇṭhaḥ,kanthah
kaṇṭhanāḍī,kanthanaadii
kaṇṭhaśālūkaḥ,kanthashaaluukah
kaṇṭhasirā,kanthasiraa
kaṇṭhaśuṇḍī,kanthashundii
kaṇṭhyam,kanthyam
kapālaḥ,kapaalah
kapālaḥ,kapaalah
kapālāsthi,kapaalaasthi
kapālikā,kapaalikaa
kapardakaḥ,kapardakah
kapāṭasandhika,kapaatasandhika
kapha,kapha
kapha_karma,kapha_karma
kapha_śamanam,kapha_shamanam
kaphābhiṣyandaḥ,kaphaabhishyandah
kaphadoṣāvasthā,kaphadoshaavasthaa
kaphaduṣṭaraktaḥ,kaphadushtaraktah
kaphaja_adhimanthaḥ,kaphaja_adhimanthah
kaphaja_āmavātaḥ,kaphaja_aamavaatah
kaphaja_amlapittam,kaphaja_amlapittam
kaphaja_apasmāraḥ,kaphaja_apasmaarah
kaphaja_arocakaḥ,kaphaja_arocakah
kaphaja_aśmarī,kaphaja_ashmarii
kaphaja_atisāraḥ,kaphaja_atisaarah
kaphaja_galagaṇḍaḥ,kaphaja_galagandah
kaphaja_oṣṭhaprakopaḥ,kaphaja_oshthaprakopah
kaphaja_pratiśyāyaḥ,kaphaja_pratishyaayah
kaphaja_śirorogaḥ,kaphaja_shirorogah
kaphaja_udararogaḥ,kaphaja_udararogah
kaphaja_upadaṃśaḥ,kaphaja_upadamshah
kaphaja_vṛddhiḥ,kaphaja_vriddhih
kaphaja_yonirogaḥ,kaphaja_yonirogah
kaphajacaturthakajvaraḥ,kaphajacaturthakajvarah
kaphajachardiḥ,kaphajachardih
kaphajadantanāḍī,kaphajadantanaadii
kaphajagrahaṇīroga,kaphajagrahaniiroga
kaphajagranthiḥ,kaphajagranthih
kaphajagulmaḥ,kaphajagulmah
kaphajahṛdrogaḥ,kaphajahridrogah
kaphajājīrṇam,kaphajaajiirnam
kaphajajvaraḥ,kaphajajvarah
kaphajakarṇarogaḥ,kaphajakarnarogah
kaphajakāsaḥ,kaphajakaasah
kaphajakṛmiḥ,kaphajakrimih
kaphajakṣīradoṣaḥ,kaphajakshiiradoshah
kaphajakuṣṭhaḥ,kaphajakushthah
kaphajamasūrikā,kaphajamasuurikaa
kaphajamūrcchā,kaphajamuurcchaa
kaphajamūtrakṛcchram,kaphajamuutrakricchram
kaphajanāḍīvraṇaḥ,kaphajanaadiivranah
kaphajanāsārśaḥ,kaphajanaasaarshah
kaphajapāṇḍurogaḥ,kaphajapaandurogah
kaphajapariṇāmaśūlaḥ,kaphajaparinaamashuulah
kaphajapramehaḥ,kaphajapramehah
kaphajaraktapittam,kaphajaraktapittam
kaphajarohiṇī,kaphajarohinii
kaphajārśaḥ,kaphajaarshah
kaphajaślīpadaḥ,kaphajashliipadah
kaphajaśophaḥ,kaphajashophah
kaphajaśūlaḥ,kaphajashuulah
kaphajasvarabhedaḥ,kaphajasvarabhedah
kaphajatṛṣṇā,kaphajatrishnaa
kaphajavidradhiḥ,kaphajavidradhih
kaphajavisarpaḥ,kaphajavisarpah
kaphajavisphoṭakaḥ,kaphajavisphotakah
kaphajavraṇaśophaḥ,kaphajavranashophah
kaphajayonikandaḥ,kaphajayonikandah
kaphajonmādaḥ,kaphajonmaadah
kaphajvarapūrvarūpam,kaphajvarapuurvaruupam
kaphakōpanam,kaphakōpanam
kaphakṣayaḥ,kaphakshayah
kaphapittajajvaraḥ,kaphapittajajvarah
kaphapittatṛtīyakajvaraḥ,kaphapittatritiiyakajvarah
kaphaprakopaḥ,kaphaprakopah
kaphaprakṛtiḥ,kaphaprakritih
kaphaprasaraḥ,kaphaprasarah
kaphasañcayaḥ,kaphasancayah
kaphāśayaḥ,kaphaashayah
Kaphavahā,kaphavahaa
kaphavātajajvaraḥ,kaphavaatajajvarah
kaphavātaprakṛtiḥ,kaphavaataprakritih
kaphavidagdhadṛṣṭiḥ,kaphavidagdhadrishtih
kaphoṇiḥ,kaphonih
kaphotkliṣṭa_vartma,kaphotklishta_vartma
kapolaḥ,kapolah
kapotapuṭaḥ,kapotaputah
karaḥ,karah
karajaḥ,karajah
karālaḥ,karaalah
kāram,kaaram
karamūlam,karamuulam
karaṇa,karana
kāraṇa,kaarana
kāraṇadravyam,kaaranadravyam
karaṇam,karanam
karaṇam,karanam
kāraṇam,kaaranam
kāraṇam,kaaranam
kāraṇam,kaaranam
karapatraśastram,karapatrashastram
kardamavisarpaḥ,kardamavisarpah
karīṣaḥ,kariishah
karma,karma
karma,karma
