sanskrit_ayurvedic_terms
abhyanga
acara
adaptogens
agada_tantra
agantuka
agni
ahamkara
ahara_rasa
ajasrika
ajirna
akasa
akasha
akriti
alabu
alocaka
alochaka
alternatives
ama
amala
amalaki
amavata
amla
anjana
anna
anodynes
anthelminthics
anti
anticoagulant
antihydrotics
antioxidants
antispasmodic
anupana
anurasa
anuvasana
apa
apana
apara
aparadha
aphrodisiac
appetizer
ardhavabhedaka
arsha
artha
asana
asatmendriyartha_samyoga
asatmya
astanga_hrdya
asthi
astringent
atman
atreya
avalambaka
avyakta
ayurveda
bala
balya
basti
bhakti
bheda
bhedaniya
bhrajaka
bhuta
bhutagni
bodhaka
brahma
brahmacharya
bruhaniya
buddhi
caksu
carminative
chakhyushya
chakra
charaka
churna
cikitsa
citraka
citrakadi_vati
consciousness
cure
danti_mula
dhanvantari
dharana
dhatu
dipaniya
disease
diuretic
dravya
dushti_duhkha
emetics
etiology
gandharva
ghee
ghrta
goksuru
guduci
guggulu
guna
haritak
harsani
hina_yoga
isabgol
isvara
jala
jalauka
jathara
jatharagni
jati
jiva
kala
kama
kamya
kanthya
kapha
karana
karanja
karavira
karma
karmendriya
karna
kasaya
kathina
katu
katuka
kaumarabhrtya
kay
kaya
kedari_kulya
keshyam
khale_kapota
khumbhaka
kichadi
kledaka
kledaka_kapha
kosha
kriya
kriyakala
ksira_dadhi
kubera
kundalini
kuti
kutipravesika
lakshmi
lavana
lekhaniya
madakari
madanaphala
madhura
madhyama
madya
mahabhuta
mahad_tattva
majja
malas
malinikarana
mamsa
manas
manda
mandagni
mantram
marmas
matsaya
meda
medha
medo
medya
mithya
moksha
monday
moong_ki_daal
mrudu
mudra
mutra
nadi
naimittika
nanatmaja
nasya
neem
netra
nidana
nidra
nija
niruha
niyama
ojas
pachaka
pachaniya
pakya
panchakarma
panir
para
pariksa
pasava
pascata_karma
peya
pichila
pippali
pitta
prabhava
prajna
prajnaparadha
prakopa
prakruti
prana
pranayama
pratyahara
prayatna
puraka
purgative
rasa
rasayana
rasi
ratricarya
rechaka
ritucarya
ruksa
rupa
sabda
sada
sadavidha
sadhaka
sakuna
salakya_tantra
salya_tantra
samadhi
samana_vayu
samanyaja
samhita
samkhya
samprapt
samsarjana
samskara
samyaka
samyoga
sancaya
sandhaniya
sandra
sankhapuspi
sanskrit
sapta
sara
sarasvati
sarira
sarpa
sarpagandha
sarvangasana
sastriya
sat
sattva
sattvic
savasana
shakha
shirah
shleshaka
shodan
shukra
silajita
sira
sirodhara
sirsasana
sita
skandhas
slakshana
slesaka
smrti
snehana
snigdha
sodhana
sparsa
sringa
srotas
srvanam
sthana_samsraya
sthira
sthula
sukha
surya
sushumna_nadi
takra
tamaka_svasa
tamas
tanmatra
tantra
tarpaka
tejas
tiksagni
tiksna
tikta
tri
tridosa
tridoshic
triguna
trikatu
triphala
trishna
trivrita
tulasi
udaka
upa
upasaya
upastambha
upyoga
upyokta
usna
uttanapadasana
