Sanskrit_Term
Abhanavarana
Abhasa
Abhasamatra
Abhasavada
Abhati
Abhava
Abhava padartha
Abhavamatra
Abhavana
Abhavarupavritti
Abhayadana
Abhayam
Abheda
Abheda_ahamkara
Abheda_bhakti
Abheda_buddhi
Abheda_chaitanya
Abheda_jnana
Abhedabhava
Abhigamana
Abhijna
Abhijna_Jnana
Abhimana
Abhimani
Abhinaya
Abhinivesa
Abhivimana
Abhivyakta
Abhokta
Abhyantara
Abhyasa
Abhyasin
Abhyudaya
Abuddhi_purva
Achala
Achamana
Achara
Acharana
Acheta
Achetana
Achintya
Achintya Sakti
Achit
Achit Sakti (of Brahman)
Achit vastu
Achyuta
Adambhitva
Adarsa
Adarsa_purusha
Adbhuta
Adesa
Adhama
Adhama uddharaka
Adhara
Adhara_adheya_sambandha
Adharma
Adhi
Adhibhautika
Adhibhautika Taapa
Adhibhautika sarira
Adhibhuta
Adhibhuta_vidya
Adhidaiva_vidya
Adhidaivika
Adhidaivika Taapa
Adhika
Adhikarana
Adhikari
Adhikari_vada
Adhimatra (Vairagya)
Adhipatipratyaya
Adhishthana
Adhishthatri Devata
Adhiyajna
Adhokshaja
Adhvaryu
Adhyaksha
Adhyaropa
Adhyaropita
Adhyasa
Adhyasta
Adhyasta astitva
Adhyatma Sastra
Adhyatma Vidya
Adhyatmavit
Adhyatmika
Adhyatmika Vidya
Adhyavasaya
Adi_tattva
Aditya
Adrishta
Adrishtam
Adrisya
Advaita
Advaita Vedanta
Advaita nishtha
Advaita vada
Advaita_avastharupa_samadhi
Advaita_siddhi
Advitiya
Advitiyata
Adya
Adyasakti
Agadha
Agama
Agama pramana
Agami (Karma)
Agandha
Agati
Aghamarshana
Agni
Agni astra
Agni_hotra
Agni_manavaka
Agni_tattva
Agni_vidya
Agnistut
Agrahya
Aguna
Ahaituka
Aham
Aham Atma
Aham Brahmasmi
Aham duhkhi
Aham etat na
Aham idam
Aham karta
Aham pratyaya
Aham sukhi
Aham vritti
Ahameva sarvah
Ahamgraha Upasana
Ahamika
Ahamkara
Ahamkara_avacchinna_chaitanya
Ahamkara_tyaga
Ahamta
Ahara
Ahavaniya
Ahimsa
Ahuti
Aisvarya
Aitihya
Aja
Ajahallakshana
Ajapa
Ajapa_gayatri
Ajapa_japa
Ajara
Ajati vada
Ajita
Ajna_chakra
Ajnana
Ajnana_avrita_ananda
Akanksha
Akara
Akarma
Akarshana Sakti
Akarta
Akartavya
Akarya
Akasa
Akasa Mandala
Akasa Nila
Akasa Tattva
Akasaja
Akasamatra
Akasavani
Akasmika
Akhanda
Akhanda_ananda
Akhanda_brahmacharya
Akhanda_mauna
Akhanda_samadhi
Akhandaikarasa
Akhandaikarasa_vritti
Akhandakara
Akhyana
Akrishna
Akritabhigama
Akrodha
Akshara
Akshara vidya
Akshara_suddhi
Aksharat_paratah_parah
Aksharatma
Akshaya
Akshobha
Akshobhya
Akunchana
Alakshana
Alambana
Alambana pratyaya
Alata chakra
Alaya vijnana
Alaya vijnana pravaha
Alinga
Alochana
Alpa
Amala
Amalaka
Amalam
"Amana, Amanaska"
Amanahstha
Amanaskata
Amanava
Amara
Amara_purusha
Amarsha
Amatra
Amhara
Amrita
Amrita (sya)_putrah
Amrita_nadi
Amritam
Amritattva
Amsa
Amukhya karana
Amurta
Anabhidya
Anadi
Anadi_ananta
Anadi_kala
Anadi_pravaha_satta
Anadi_samskara
Anadi_santa
Anagata
Anaham
Anahata
Anahata dhvani
Ananda
Ananda Abhava
Ananda Ghana
Ananda pada
Ananda sagara
Ananda svarupa
Ananda valli
Anandamaya
Anandamaya Kosa
Ananta
Ananta_amatra
Ananta_ananda
Ananta_drishti
Ananta_jyoti
Ananta_matra
Anantatvat
Ananya Bhakti
Ananyata
Anarabdha_karya
Anartha
Anasakti
Anasrama
Anatma
Anavacchinnam
Anavadhana
Anavasada
Anavastha
Anavastha_dosha
Anavasthitva
Andaja
Andolana
Aneka
Anga
Angirasa
Angushtha_matra
Anima
Anirdesya
Anirvachaniya
Anirvachaniya_satta
Anisa
Anisata
Anishta
Anitya
Annam
Annamaya kosa
Anrita
Anta
Antah_prajna
Antahkarana
Antahkarana_chatushtaya
Antahkarana_pratibimba_chaitanya
Antahkarana_sastra
Antahkarana_vyapara
Antar
Antar_drishti
Antaranga
Antaratma
Antardhauti
Antargata
Antarika
Antarika prema
Antariksha
Antarjyoti
Antarlakshya
Antarmukha
Antarmukha_vritti
Antarvaha_sarira
Antarveshtini
Antaryamana
Antaryamin
Antevasin
Anu
Anubandha_chatushtaya
Anubhava
Anubhava_advaita
Anubhava_gamyam
Anubhavi guru
Anudbuddha
Anugraha
Anukampa
Anumana
Anumanta
Anupadaka
Anupalabdhi
Anuparimana
Anuraga
Anusandhana
Anusaya
Anushthana
Anusmarana
Anutapa
Anutva
Anuvada
Anuvritti
Anuvyakhyana
Anuvyavasaya
Anuyogin
Anvaya
Anvaya_vyatireka
Anyat
Anyatha
Anyathakhyati
Anyonya
Anyonya_abhava
Anyonya_adhyasa
Anyonya_asraya
Apahatapapmatva
Apamana
Apana
Apanchikarana
Apara
Apara_brahman
Apara_paksha
Apara_parsva
Apara_prakriti
Apara_vairagya
Apara_vidya
Aparadha
Aparajita
Aparicchinna
Aparigraha
Aparimita_drishti
Aparinami
Aparoksha
Aparoksha_anubhuti
Aparokshanubhava_svarupa
Aparokshatva
Apas
Apas_tattva
Apasarpana
Apataramaniya
Apatkala
Apavada
Apavada_yukti
Apavarga
Apavitra
Apekshikya
Apekshita
Aprajnata
Aprakata
Aprama
Apramatta
Aprameya
Aprana
Apratarkya
Apratisamkhyanirodha
Apta
Apta_dharma
Apta_kama
Apta_vakya
Apunya
Apurna
Apurva
Apurvata
Aradhana
Arambha
Arambha_vada
Arambhakopadhana
Arani
Arati
Archana
Archiradi_marga
Ardhangini
Arghya
Arjava
Aroha
Artha
Arthapatti
Arthartha
Artharthi
Arthavada
Arundhati_nyaya
Arupa
Arupa_mano_nasa
Arurukshu
Aryadharma
Aryavarta
Asa
Asabda
Asabdam
Asadavarana
Asadharana
Asadharana karana
Asadharana_nimitta
Asakta
Asamavaya_karana
Asamavayi
Asambhava
Asambhavana
Asamhita
Asamprajnata_samadhi
Asamsakti
Asamvedana
Asamyagdarsana
Asamyagdarsin
Asana
Asanaya
Asanga
Asanga_bhavana
Asango_ayam purushah
Asanti
Asara
Asariraka
Asat
Asaya_bija
Ashtakshara mantra
Ashtanga Yoga
Ashtavadhani
Asiddha
Asmat
Asmi
Asmita
Asmita_nasa
Asmita_samadhi
Asmriti
Asparsa
Asrama
Asrama_dharma
Asrama_karani
Asrupata
Asteya
Asthi
Asthira
Asthula
Asti
Asti_bhati_priya
Astra
Asu
