epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9576961994171143,0.0010000000474974513,0.12788158655166626,0.9732356071472168,0.07984475791454315
1,0.9702381491661072,0.0010000000474974513,0.08561107516288757,0.9748110771179199,0.07284556329250336
2,0.9727792739868164,0.0010000000474974513,0.07561150938272476,0.9768394231796265,0.0643702819943428
3,0.9746614098548889,0.0010000000474974513,0.07014087587594986,0.9776318669319153,0.06152034178376198
4,0.9758884906768799,0.0010000000474974513,0.06675416976213455,0.9789809584617615,0.059305090457201004
5,0.9765434861183167,0.0010000000474974513,0.06460000574588776,0.9793300032615662,0.058625273406505585
6,0.9776877164840698,0.0010000000474974513,0.0617784708738327,0.9793960452079773,0.0585242435336113
7,0.9787814021110535,0.0010000000474974513,0.05960807204246521,0.9800564050674438,0.055122993886470795
8,0.9793413877487183,0.0010000000474974513,0.05733282119035721,0.979745090007782,0.055484529584646225
9,0.9795172214508057,0.0010000000474974513,0.056129299104213715,0.9802262187004089,0.05500756576657295
10,0.9801560640335083,0.0010000000474974513,0.05430217832326889,0.9808017015457153,0.05441915616393089
11,0.980742335319519,0.0010000000474974513,0.052975114434957504,0.9802922606468201,0.0547516755759716
12,0.9810112118721008,0.0010000000474974513,0.05192320793867111,0.9799054861068726,0.05588678643107414
13,0.9815449118614197,0.0010000000474974513,0.050702352076768875,0.9809620976448059,0.053189221769571304
14,0.9820786118507385,0.0010000000474974513,0.04959326982498169,0.9799432158470154,0.05533991754055023
15,0.9819856286048889,0.0010000000474974513,0.04898518696427345,0.9802168011665344,0.05470581352710724
16,0.9825193285942078,0.0010000000474974513,0.04716738685965538,0.9806790351867676,0.05574825406074524
17,0.9840941429138184,0.0005000000237487257,0.0428193099796772,0.9814715385437012,0.051823437213897705
18,0.9848825335502625,0.0005000000237487257,0.04064258560538292,0.9812167882919312,0.051979318261146545
19,0.9852403402328491,0.0005000000237487257,0.03969664126634598,0.9819149374961853,0.05143014341592789
20,0.9858124852180481,0.0005000000237487257,0.0388847179710865,0.9815375804901123,0.05174347385764122
21,0.9857780933380127,0.0005000000237487257,0.038170505315065384,0.9817451238632202,0.05209372937679291
22,0.9859135746955872,0.0005000000237487257,0.03812524303793907,0.9814998507499695,0.05233378708362579
23,0.9868656992912292,0.0002500000118743628,0.03540725260972977,0.9818111658096313,0.05178296938538551
